record_id,catchment_zone,sample_date,population_coverage,wastewater_flow_m3_day,pathogen_marker_signal,marker_change_pct,sampling_quality_score,rainfall_7d_mm,industrial_influence_score,seasonality_score,local_health_trend_score,health_trend_change_pct,reporting_completeness_pct,signal_persistence_days,sampling_frequency_score,review_status
WW001,ZONE-A,2026-08-01,42000,18500,42,4,94,18,10,45,38,2,96,2,90,Monitor
WW002,ZONE-A,2026-08-05,42000,18100,55,18,92,22,10,45,48,9,96,4,90,Monitor
WW003,ZONE-A,2026-08-12,42000,19000,68,27,95,31,12,45,61,18,94,7,90,Review
WW004,ZONE-B,2026-08-02,61000,24600,36,-3,90,8,18,52,32,-2,91,1,85,Monitor
WW005,ZONE-B,2026-08-09,61000,25200,44,9,93,15,18,52,41,5,92,3,85,Monitor
WW006,ZONE-B,2026-08-16,61000,24900,52,16,89,28,20,52,50,12,90,5,85,Review
WW007,ZONE-C,2026-08-03,28000,12100,63,21,88,12,6,38,57,15,87,6,80,Review
WW008,ZONE-C,2026-08-10,28000,11800,76,31,91,19,7,38,69,24,88,9,80,Pending
WW009,ZONE-C,2026-08-17,28000,12400,84,38,94,25,7,38,78,31,92,12,80,Pending
WW010,ZONE-D,2026-08-04,35000,15400,28,-6,96,6,5,42,25,-5,98,1,95,Monitor
WW011,ZONE-D,2026-08-11,35000,15700,33,3,95,10,5,42,29,1,97,2,95,Monitor
WW012,ZONE-D,2026-08-18,35000,16000,39,8,94,16,5,42,35,6,97,3,95,Monitor
